gene,Healthy_mean,Healthy_var,Healthy_min,Healthy_max,UC_inflamed_mean,UC_inflamed_var,UC_inflamed_min,UC_inflamed_max,UC_non_inflamed_mean,UC_non_inflamed_var,UC_non_inflamed_min,UC_non_inflamed_max,Colitis_inflamed_mean,Colitis_inflamed_var,Colitis_inflamed_min,Colitis_inflamed_max,CD_inflamed_mean,CD_inflamed_var,CD_inflamed_min,CD_inflamed_max
ERMP1,0.017732272,0.02739027,0.0,3.0341063,0.018036824,0.0267458,0.0,2.454301,0.008653299,0.014898979,0.0,2.420004,0.02803927,0.041568637,0.0,2.9917984,0.036545563,0.0476466,0.0,2.547769
KIAA2026,0.098647736,0.14793554,0.0,3.0755208,0.11758808,0.18107404,0.0,2.9704857,0.11150785,0.18449567,0.0,2.842295,0.1202705,0.16750741,0.0,3.6847448,0.10539609,0.12789837,0.0,2.7679136
RANBP6,0.055316962,0.08153705,0.0,2.815324,0.038767643,0.061477605,0.0,2.7891493,0.025143595,0.044238124,0.0,2.836986,0.06942732,0.09753465,0.0,2.7948995,0.053048458,0.06723576,0.0,2.7349663
IL33,0.0,0.0,0.0,0.0,0.00086334854,0.0018035454,0.0,2.2783337,0.000447522,0.00074991304,0.0,1.7473435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UHRF2,0.096780024,0.14467317,0.0,3.2580965,0.09119375,0.13980646,0.0,3.2677622,0.03786044,0.06443172,0.0,2.5772214,0.15209386,0.21236922,0.0,3.0735521,0.19568281,0.24929082,0.0,2.927639
GLDC,0.00068584224,0.0010729302,0.0,2.2380688,0.00339636,0.0060644276,0.0,3.2021327,0.00082767545,0.0018125821,0.0,2.7309332,0.00094338093,0.001239548,0.0,1.9687096,0.0018686889,0.002189467,0.0,1.609118
KDM4C,0.14534453,0.20884489,0.0,2.9251318,0.113199264,0.16770782,0.0,3.4162529,0.047515146,0.0801806,0.0,2.5586953,0.211342,0.28737327,0.0,3.4134083,0.23871855,0.27748954,0.0,2.8362303
PTPRD,0.00028027795,0.0005802489,0.0,2.3323696,0.00023547579,0.0005172826,0.0,2.1972246,0.00018945374,0.00026828132,0.0,1.4163562,0.00010452027,0.00012831611,0.0,1.2277997,0.0,0.0,0.0,0.0
TYRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LURAP1L,0.00021366845,0.0003776288,0.0,2.131728,0.0010529561,0.0015715339,0.0,1.8206681,0.00025329253,0.00047956337,0.0,1.8936149,0.0001889993,0.0002099076,0.0,1.1412991,0.0,0.0,0.0,0.0
MPDZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIB,0.0007609344,0.001319264,0.0,2.4961646,0.00035011664,0.0005730952,0.0,1.7088923,0.00017765055,0.00023590287,0.0,1.3281156,0.00042368012,0.0004343594,0.0,1.2143146,0.0011335439,0.0029129738,0.0,2.5708776
ZDHHC21,0.051188957,0.07662106,0.0,2.743088,0.04124056,0.0648639,0.0,3.0416698,0.02412002,0.041364413,0.0,2.4360251,0.070023365,0.1019951,0.0,2.9251318,0.06584167,0.082735755,0.0,2.6564083
FREM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTC39B,0.075532146,0.11564334,0.0,3.2169578,0.064188115,0.09709426,0.0,3.3100035,0.04596555,0.07821253,0.0,2.8116422,0.09432286,0.13057789,0.0,2.9036927,0.13606802,0.16013153,0.0,2.8065128
SNAPC3,0.054277033,0.08388249,0.0,2.9293141,0.045827065,0.07331627,0.0,2.8079755,0.036222648,0.062319,0.0,2.9981103,0.06596222,0.09776505,0.0,3.1830988,0.072606415,0.092612915,0.0,2.6839328
PSIP1,0.4338844,0.56575847,0.0,3.579154,0.39893505,0.54559416,0.0,3.364083,0.38853252,0.569977,0.0,3.3515942,0.52583534,0.59080046,0.0,3.461483,0.53476095,0.50469106,0.0,3.12721
CCDC171,0.0076721967,0.012018622,0.0,2.7679136,0.005444193,0.009069361,0.0,2.3728223,0.0047319066,0.0086325845,0.0,2.584934,0.009653708,0.0135279605,0.0,2.7963428,0.015616703,0.019843075,0.0,2.4350743
BNC2,0.0004625051,0.00079009525,0.0,1.9120598,0.0003523181,0.0005998969,0.0,1.9560932,0.000259511,0.0005034043,0.0,1.9401042,0.00015444194,0.00014383355,0.0,1.0558488,0.0,0.0,0.0,0.0
CNTLN,0.008081448,0.011205625,0.0,2.6453948,0.009122058,0.014395016,0.0,2.5147595,0.017207112,0.02880487,0.0,2.451389,0.016196175,0.022853335,0.0,2.6521087,0.022685707,0.028510166,0.0,2.7019117
SH3GL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.363646e-05,0.00010298083,0.0,1.0999475,0.0,0.0,0.0,0.0
ADAMTSL1,9.1219445e-05,0.00012014146,0.0,1.3172088,0.0001625213,0.00024640886,0.0,1.5164863,0.00023905707,0.00042712907,0.0,1.7871907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRAGA,0.18727787,0.2769682,0.0,3.3159544,0.15283263,0.2298553,0.0,3.0784814,0.12106321,0.20140472,0.0,2.7749355,0.1890463,0.2427657,0.0,3.2886426,0.26925677,0.26723266,0.0,2.6613483
HAUS6,0.050335,0.07798175,0.0,3.363634,0.052643776,0.08155059,0.0,2.8272102,0.038955323,0.06806382,0.0,2.7526596,0.06290391,0.08918565,0.0,2.8947742,0.05697175,0.069608256,0.0,2.472983
PLIN2,0.2510431,0.39221737,0.0,4.298581,0.2576178,0.38743863,0.0,4.569522,0.20150042,0.3404026,0.0,3.6272085,0.29417163,0.38019875,0.0,3.5380604,0.59745944,0.6779323,0.0,4.0615
DENND4C,0.10844174,0.15667613,0.0,3.473518,0.07742159,0.1165325,0.0,3.0628002,0.04669029,0.080357835,0.0,2.4931047,0.1653647,0.22646156,0.0,3.3344734,0.15166008,0.1792434,0.0,3.1953697
RPS6,3.9231272,0.6152549,0.0,5.7105293,4.0757804,0.6660591,0.0,5.5008597,4.3807397,0.2691637,0.0,5.5831227,3.6128101,0.8125428,0.0,5.1437535,3.186216,1.3189596,0.0,4.8117876
ACER2,0.004531132,0.0065680626,0.0,2.3701801,0.0025349248,0.003482023,0.0,2.0462136,0.0,0.0,0.0,0.0,0.0075449646,0.010962343,0.0,2.5620005,0.0133219585,0.020942146,0.0,2.4350743
SLC24A2,7.234992e-05,7.5577685e-05,0.0,1.0447328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6777996e-05,8.844872e-05,0.0,1.0193812,0.0,0.0,0.0,0.0
MLLT3,0.17320715,0.25172627,0.0,3.1864293,0.16236855,0.23882627,0.0,2.966108,0.12023917,0.20334247,0.0,3.5209823,0.28552803,0.37531433,0.0,3.7453146,0.25532287,0.27936375,0.0,2.9118779
FOCAD,0.031725217,0.051854182,0.0,2.930153,0.021520115,0.033031847,0.0,3.2066689,0.0077300905,0.013113777,0.0,2.348485,0.04988569,0.073621795,0.0,2.8748298,0.052352972,0.06553563,0.0,2.8362303
KLHL9,0.07342563,0.108532146,0.0,2.8317087,0.06705393,0.10083342,0.0,2.8491673,0.039830852,0.07011411,0.0,4.257763,0.11004163,0.1541659,0.0,2.913524,0.1137668,0.124123685,0.0,2.3852644
MTAP,0.09142117,0.13582002,0.0,3.0824444,0.05883565,0.09166052,0.0,2.974003,0.047457006,0.08303403,0.0,3.6437838,0.11195567,0.15529974,0.0,3.388651,0.098886095,0.115655914,0.0,2.913524
CDKN2A,0.055483557,0.09578772,0.0,3.4138818,0.053007297,0.09079252,0.0,2.9574163,0.03819171,0.07029299,0.0,2.754724,0.06724803,0.10105956,0.0,3.0331652,0.09723946,0.12273023,0.0,2.6890318
CDKN2B-AS1,0.0039121495,0.0065604514,0.0,2.6877544,0.0043244553,0.0069274525,0.0,2.6345193,0.0007744321,0.0016207055,0.0,2.4809742,0.0076815677,0.011843598,0.0,2.5231566,0.013990797,0.020267563,0.0,2.398805
CDKN2B,0.0031403753,0.005555067,0.0,2.339964,0.0046372637,0.007665222,0.0,2.4484868,0.002459612,0.0046248715,0.0,2.253554,0.0036574316,0.004964145,0.0,2.1838264,0.01993746,0.029422296,0.0,2.6601107
DMRTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELAVL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002772168,0.00057444256,0.0,2.0724728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUSC1,0.0,0.0,0.0,0.0,0.00060619705,0.0010063641,0.0,2.1442685,0.0009977613,0.0018649669,0.0,2.0293825,9.06597e-05,9.654197e-05,0.0,1.0649794,0.0,0.0,0.0,0.0
CAAP1,0.07830602,0.11446704,0.0,2.9143484,0.06425886,0.09821804,0.0,2.9143484,0.043633066,0.07557168,0.0,2.842295,0.106168315,0.14539376,0.0,3.3138247,0.100823835,0.11422174,0.0,2.5412796
PLAA,0.09437804,0.13371566,0.0,3.2617095,0.099187136,0.1446492,0.0,3.1579585,0.03282525,0.05679003,0.0,2.6903114,0.16937912,0.22797403,0.0,3.3868086,0.22794446,0.26247448,0.0,2.9218001
IFT74,0.02145506,0.03360923,0.0,2.6285357,0.024428224,0.038763378,0.0,2.6890318,0.018493231,0.0316637,0.0,2.4849982,0.026620436,0.03749309,0.0,2.8035953,0.024033714,0.027255809,0.0,2.4284475
LRRC19,0.00015295595,0.00033778857,0.0,2.208684,0.0008661871,0.001486617,0.0,2.0652225,0.00022043397,0.00036321243,0.0,1.6479644,0.00028704354,0.00032861313,0.0,1.3252681,0.00034490624,0.00026968305,0.0,0.78224736
TEK,0.0,0.0,0.0,0.0,0.0006474031,0.0013218059,0.0,2.3433619,0.0,0.0,0.0,0.0,0.0001333819,0.00020895996,0.0,1.5668371,0.0,0.0,0.0,0.0
MOB3B,0.0017989157,0.002969391,0.0,2.5147595,0.0021449006,0.0033795214,0.0,2.6466115,0.0016999305,0.0027658893,0.0,1.9660637,0.0038310832,0.005328031,0.0,2.6131697,0.0039097425,0.0045981323,0.0,1.3688512
C9orf72,0.06548669,0.09812189,0.0,3.2544978,0.062787406,0.09536608,0.0,3.0011318,0.02490885,0.042412497,0.0,2.357961,0.09409762,0.13881421,0.0,3.374468,0.09528865,0.12159701,0.0,3.3476152
ACO1,0.019976271,0.03025176,0.0,2.6993206,0.017949885,0.028348774,0.0,2.4759707,0.017388314,0.029380377,0.0,2.7156432,0.022712568,0.032752935,0.0,2.8560932,0.016425539,0.021756439,0.0,2.5564988
DDX58,0.057810284,0.08842501,0.0,2.9909003,0.057624917,0.092131406,0.0,2.7939384,0.039985828,0.06794412,0.0,2.7202682,0.070645444,0.100597054,0.0,3.12721,0.14519887,0.18590079,0.0,3.3138247
TOPORS,0.13467328,0.20317991,0.0,3.5893703,0.18561587,0.28122893,0.0,3.0191653,0.13510539,0.23002924,0.0,2.9963024,0.21414414,0.28853202,0.0,3.3007288,0.29310536,0.3459014,0.0,2.974003
NDUFB6,0.31909913,0.44637465,0.0,3.6110153,0.26252222,0.37000564,0.0,3.2613072,0.22134787,0.34956697,0.0,3.0287864,0.36598393,0.42193004,0.0,3.4980605,0.372716,0.34506354,0.0,2.6688116
TMEM215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APTX,0.08901733,0.13241982,0.0,2.8576398,0.07191572,0.11083945,0.0,3.1942475,0.04219643,0.072892874,0.0,2.4809742,0.12540306,0.17806582,0.0,3.0170069,0.14701082,0.17895034,0.0,2.9234643
DNAJA1,0.9223477,1.284828,0.0,5.107525,0.81163114,1.0897926,0.0,4.400393,0.72295123,1.0739973,0.0,4.5090394,0.65097326,0.72604465,0.0,4.3619294,1.1115446,0.94003594,0.0,4.671751
SMU1,0.16397846,0.22732674,0.0,4.856247,0.13805883,0.20278002,0.0,3.2250404,0.08637327,0.14397572,0.0,4.5170603,0.19691834,0.2511144,0.0,3.0974605,0.2268269,0.24532506,0.0,2.8827543
B4GALT1,0.15951511,0.2281166,0.0,3.3271077,0.19630533,0.28938878,0.0,3.373107,0.10012939,0.1751116,0.0,3.296126,0.28746802,0.3841951,0.0,3.5870905,0.41542524,0.4562665,0.0,3.419106
SPINK4,0.0007310579,0.0013568242,0.0,2.4341242,0.04386036,0.091440775,0.0,3.7743611,0.04330296,0.091493055,0.0,3.229691,0.0009308011,0.0015218854,0.0,2.9169755,0.0009479009,0.0010345898,0.0,1.2119887
BAG1,0.16317457,0.24104787,0.0,3.6592195,0.18544336,0.27384728,0.0,4.393321,0.17158821,0.27997595,0.0,5.0791354,0.21143506,0.26195845,0.0,2.8499343,0.3071717,0.30802232,0.0,2.9259667
