gene,cell_type,KW_p,KW_FDR,effect_size,effect_size_class,disease_1,disease_2,mw_stat,mw_p,n1,n2,mw_FDR
REL,CD8T,0.0,0.0,1.18215994,high,UC_inflamed,UC_non_inflamed,54489407.5,0.0,11609,6890,0.0
REL,CD8T,0.0,0.0,1.18215994,high,UC_inflamed,CD_inflamed,8500498.0,4.2163912970846114e-86,11609,1979,1.0550805133553086e-84
REL,CD8T,0.0,0.0,1.18215994,high,Healthy,UC_inflamed,128955580.5,2.1338690059226253e-34,23962,11609,1.792975444273172e-33
REL,CD8T,0.0,0.0,1.18215994,high,UC_inflamed,Colitis_inflamed,68042483.0,1.0628145429651766e-08,11609,12212,3.49147931920165e-08
TMSB10,CD8T,0.0,0.0,0.5792358000000002,high,UC_inflamed,UC_non_inflamed,31376358.5,5.808923656415896e-133,11609,6890,2.838371222286954e-131
TMSB10,CD8T,0.0,0.0,0.5792358000000002,high,Healthy,UC_inflamed,118253387.5,1.7137685737411577e-116,23962,11609,6.823298610655462e-115
TMSB10,CD8T,0.0,0.0,0.5792358000000002,high,UC_inflamed,Colitis_inflamed,78777987.5,4.476197834313314e-50,11609,12212,5.581384803469799e-49
TMSB10,CD8T,0.0,0.0,0.5792358000000002,high,UC_inflamed,CD_inflamed,13143539.5,9.635359918649631e-25,11609,1979,6.103582107058381e-24
CAPG,CD8T,0.0,0.0,0.4272699299999999,medium,Healthy,UC_inflamed,161749711.5,4.4795134920444e-207,23962,11609,4.693725750772613e-205
CAPG,CD8T,0.0,0.0,0.4272699299999999,medium,UC_inflamed,UC_non_inflamed,43962179.0,2.3594261278440973e-69,11609,6890,4.3777140309826255e-68
CAPG,CD8T,0.0,0.0,0.4272699299999999,medium,UC_inflamed,Colitis_inflamed,65051368.5,7.311151979773992e-49,11609,12212,8.854421915645973e-48
CAPG,CD8T,0.0,0.0,0.4272699299999999,medium,UC_inflamed,CD_inflamed,9809823.5,4.3403611829951796e-46,11609,1979,4.9108835782027094e-45
CD8A,CD8T,0.0,0.0,0.7572101999999999,high,UC_inflamed,UC_non_inflamed,53403866.5,0.0,11609,6890,0.0
CD8A,CD8T,0.0,0.0,0.7572101999999999,high,UC_inflamed,Colitis_inflamed,83905044.5,2.18186742172574e-143,11609,12212,1.207940007799692e-141
CD8A,CD8T,0.0,0.0,0.7572101999999999,high,UC_inflamed,CD_inflamed,13820523.5,4.455027300069882e-50,11609,1979,5.555417318437899e-49
CD8A,CD8T,0.0,0.0,0.7572101999999999,high,Healthy,UC_inflamed,132566148.0,1.4134573738593486e-13,23962,11609,5.916037997298407e-13
RPL31,CD8T,0.0,0.0,1.7729435,high,UC_inflamed,UC_non_inflamed,17380269.0,0.0,11609,6890,0.0
RPL31,CD8T,0.0,0.0,1.7729435,high,UC_inflamed,Colitis_inflamed,87197938.0,5.5353214088984516e-208,11609,12212,5.841831670400364e-206
RPL31,CD8T,0.0,0.0,1.7729435,high,UC_inflamed,CD_inflamed,15353297.0,4.496399128331454e-127,11609,1979,2.0456075695417533e-125
RPL31,CD8T,0.0,0.0,1.7729435,high,Healthy,UC_inflamed,123887336.5,6.312548376915763e-63,23962,11609,1.0340072376955691e-61
RNF149,CD8T,0.0,0.0,0.6381163299999999,high,UC_inflamed,UC_non_inflamed,49797650.5,4.8590924781125885e-273,11609,6890,8.228778586751128e-271
RNF149,CD8T,0.0,0.0,0.6381163299999999,high,UC_inflamed,CD_inflamed,9696029.0,5.341514615130975e-36,11609,1979,4.6760391844694434e-35
RNF149,CD8T,0.0,0.0,0.6381163299999999,high,Healthy,UC_inflamed,131274561.5,3.647282510823636e-24,23962,11609,2.266271261885669e-23
RNF149,CD8T,0.0,0.0,0.6381163299999999,high,UC_inflamed,Colitis_inflamed,74277479.0,7.099270988105737e-14,11609,12212,3.011001771395841e-13
RANBP2,CD8T,0.0,0.0,0.7357417740000001,high,UC_inflamed,UC_non_inflamed,50228791.0,0.0,11609,6890,0.0
RANBP2,CD8T,0.0,0.0,0.7357417740000001,high,UC_inflamed,CD_inflamed,9248566.5,3.3941313708019245e-60,11609,1979,5.2661354264706144e-59
RANBP2,CD8T,0.0,0.0,0.7357417740000001,high,Healthy,UC_inflamed,133427328.0,9.245184587198151e-15,23962,11609,4.0731417802441875e-14
RANBP2,CD8T,0.0,0.0,0.7357417740000001,high,UC_inflamed,Colitis_inflamed,67739480.0,1.712501569258454e-12,11609,12212,6.84295300042363e-12
ZEB2,CD8T,0.0,0.0,0.5351483100000001,high,Healthy,UC_inflamed,112395494.0,0.0,23962,11609,0.0
ZEB2,CD8T,0.0,0.0,0.5351483100000001,high,UC_inflamed,UC_non_inflamed,51463347.0,0.0,11609,6890,0.0
ZEB2,CD8T,0.0,0.0,0.5351483100000001,high,UC_inflamed,Colitis_inflamed,83517914.0,8.724025126514313e-204,11609,12212,8.89806362650494e-202
ZEB2,CD8T,0.0,0.0,0.5351483100000001,high,UC_inflamed,CD_inflamed,12472321.0,6.333959871432211e-13,11609,1979,2.5787704762599728e-12
CYTIP,CD8T,0.0,0.0,1.1763096,high,UC_inflamed,UC_non_inflamed,52785089.0,0.0,11609,6890,0.0
CYTIP,CD8T,0.0,0.0,1.1763096,high,UC_inflamed,CD_inflamed,8191300.5,7.309111292179563e-98,11609,1979,2.2184929770175625e-96
CYTIP,CD8T,0.0,0.0,1.1763096,high,UC_inflamed,Colitis_inflamed,66427119.5,6.76318691752339e-18,11609,12212,3.3717535075134406e-17
CYTIP,CD8T,0.0,0.0,1.1763096,high,Healthy,UC_inflamed,143995696.5,2.7111170081030264e-08,23962,11609,8.694426295923703e-08
WIPF1,CD8T,0.0,0.0,0.8648132,high,UC_inflamed,UC_non_inflamed,52188045.5,0.0,11609,6890,0.0
WIPF1,CD8T,0.0,0.0,0.8648132,high,Healthy,UC_inflamed,125515657.0,1.1080373184117495e-55,23962,11609,1.5627411343393662e-54
WIPF1,CD8T,0.0,0.0,0.8648132,high,UC_inflamed,CD_inflamed,9706969.5,3.6778417628784985e-30,11609,1979,2.746783601890104e-29
WIPF1,CD8T,0.0,0.0,0.8648132,high,UC_inflamed,Colitis_inflamed,74541667.5,6.150723236095131e-13,11609,12212,2.505308624834014e-12
CLK1,CD8T,0.0,0.0,0.6407183399999999,high,UC_inflamed,UC_non_inflamed,48978369.5,3.5805746541283824e-201,11609,6890,3.590607397555268e-199
CLK1,CD8T,0.0,0.0,0.6407183399999999,high,Healthy,UC_inflamed,122613146.0,4.411516330192334e-98,23962,11609,1.3440686813800141e-96
CLK1,CD8T,0.0,0.0,0.6407183399999999,high,UC_inflamed,CD_inflamed,9600440.5,3.866334903682e-37,11609,1979,3.4965927461701826e-36
CLK1,CD8T,0.0,0.0,0.6407183399999999,high,UC_inflamed,Colitis_inflamed,74955818.0,5.590808346448578e-18,11609,12212,2.796532857705822e-17
NBEAL1,CD8T,0.0,0.0,0.67816107,high,UC_inflamed,Colitis_inflamed,81550323.0,1.879376895697442e-189,11609,12212,1.6777918461866573e-187
NBEAL1,CD8T,0.0,0.0,0.67816107,high,UC_inflamed,UC_non_inflamed,31979781.0,8.31539131937133e-166,11609,6890,5.860804253762593e-164
NBEAL1,CD8T,0.0,0.0,0.67816107,high,Healthy,UC_inflamed,128063391.5,1.1059470920822868e-65,23962,11609,1.915397130657622e-64
NBEAL1,CD8T,0.0,0.0,0.67816107,high,UC_inflamed,CD_inflamed,12889062.0,1.7158096048259977e-30,11609,1979,1.2936245346998126e-29
RPL37A,CD8T,0.0,0.0,0.7860150000000004,high,UC_inflamed,UC_non_inflamed,27552529.0,5.789546840827014e-275,11609,6890,9.919218284204158e-273
RPL37A,CD8T,0.0,0.0,0.7860150000000004,high,UC_inflamed,CD_inflamed,14276059.5,5.135083974256191e-67,11609,1979,9.09196651334608e-66
RPL37A,CD8T,0.0,0.0,0.7860150000000004,high,Healthy,UC_inflamed,125762353.5,8.975424169356299e-49,23962,11609,1.0857748535077232e-47
RPL37A,CD8T,0.0,0.0,0.7860150000000004,high,UC_inflamed,Colitis_inflamed,74906918.5,3.3451220889700944e-14,11609,12212,1.4392282336734176e-13
BHLHE40,CD8T,0.0,0.0,0.37939831,medium,UC_inflamed,UC_non_inflamed,48595031.0,7.778623250937884e-299,11609,6890,1.581751609297407e-296
BHLHE40,CD8T,0.0,0.0,0.37939831,medium,UC_inflamed,Colitis_inflamed,82088527.0,1.172752041428623e-221,11609,12212,1.3846900019947192e-219
BHLHE40,CD8T,0.0,0.0,0.37939831,medium,Healthy,UC_inflamed,126011331.0,4.0254592650720646e-95,23962,11609,1.1695836453903229e-93
BHLHE40,CD8T,0.0,0.0,0.37939831,medium,UC_inflamed,CD_inflamed,12414967.0,2.9378882239673004e-14,11609,1979,1.2673011878128665e-13
RPL32,CD8T,0.0,0.0,0.7535198000000003,high,UC_inflamed,UC_non_inflamed,26880836.5,3.700043132987439e-305,11609,6890,7.830380375395887e-303
RPL32,CD8T,0.0,0.0,0.7535198000000003,high,Healthy,UC_inflamed,154641784.5,9.027229044274505e-66,23962,11609,1.5659578172990187e-64
RPL32,CD8T,0.0,0.0,0.7535198000000003,high,UC_inflamed,Colitis_inflamed,62485694.5,1.873216454698941e-56,11609,12212,2.684954699441656e-55
RPL32,CD8T,0.0,0.0,0.7535198000000003,high,UC_inflamed,CD_inflamed,12961328.0,6.243768292580558e-20,11609,1979,3.355778019422989e-19
TGFBR2,CD8T,0.0,0.0,0.4234147,medium,UC_inflamed,Colitis_inflamed,59628293.0,1.1278274989683745e-170,11609,12212,8.347271080370252e-169
TGFBR2,CD8T,0.0,0.0,0.4234147,medium,UC_inflamed,UC_non_inflamed,44461737.5,1.0373695089781495e-103,11609,6890,3.4418697861749268e-102
TGFBR2,CD8T,0.0,0.0,0.4234147,medium,UC_inflamed,CD_inflamed,9323454.5,7.531755662354056e-81,11609,1979,1.7139879177930202e-79
TGFBR2,CD8T,0.0,0.0,0.4234147,medium,Healthy,UC_inflamed,147606991.5,5.975164490248766e-39,23962,11609,5.651945501906283e-38
RPL14,CD8T,0.0,0.0,0.5602549999999997,high,UC_inflamed,UC_non_inflamed,27683292.5,3.208661949698929e-269,11609,6890,5.294620973350538e-267
RPL14,CD8T,0.0,0.0,0.5602549999999997,high,UC_inflamed,Colitis_inflamed,63439819.0,9.66234859851093e-45,11609,12212,1.05678861921235e-43
RPL14,CD8T,0.0,0.0,0.5602549999999997,high,Healthy,UC_inflamed,145473771.0,2.0216619592416463e-12,23962,11609,8.054539706005668e-12
RPL14,CD8T,0.0,0.0,0.5602549999999997,high,UC_inflamed,CD_inflamed,12569193.5,1.9568898926725728e-11,11609,1979,7.43189919386214e-11
