gene,effect_size,effect_size_class
COL24A1,0.0006404219,low
ODF2L,0.13451554999999998,low
CLCA2,0.0002545786,low
CLCA1,0.0167377643,low
CLCA4,0.00334055046,low
SH3GLB1,0.18846479,low
HS2ST1,0.063362332,low
LMO4,0.12046664600000001,low
PKN2,0.12994239999999999,low
GTF2B,0.47053344,medium
RBMXL1,0.049622887,low
GBP3,0.027495955000000002,low
GBP1,0.12956849999999998,low
GBP2,0.39804107000000005,medium
GBP7,0.0048360513,low
GBP4,0.17499732,low
GBP5,0.14274546000000002,low
LRRC8B,0.052439017000000004,low
LRRC8C,0.055207400000000004,low
LRRC8D,0.156467099,low
ZNF326,0.12636661700000001,low
ZNF644,0.14552793000000003,low
CDC7,0.01557619,low
TGFBR3,0.05253326999999999,low
BRDT,0.0014631987800000001,low
EPHX4,0.0017719055,low
BTBD8,0.0114195358,low
GLMN,0.07771366999999998,low
RPAP2,0.10001022000000001,low
GFI1,0.061535918,low
EVI5,0.0176357613,low
RPL5,0.46573730000000024,medium
MTF2,0.038954989999999995,low
TMED5,0.28356106,medium
CCDC18,0.05464841699999999,low
DR1,0.20975269,low
FNBP1L,0.0036551217999999997,low
BCAR3,0.00410489985,low
DNTTIP2,0.16339628,low
GCLM,0.023817364999999993,low
ABCA4,0.0,low
ARHGAP29,0.001205752,low
ABCD3,0.038793944000000004,low
F3,0.003780796,low
SLC44A3,0.0058040453,low
CNN3,0.0091961933,low
ALG14,0.006080889000000001,low
RWDD3,0.1380978266,low
PTBP2,0.08009931699999999,low
DPYD,0.218403866,low
SNX7,0.0014131621,low
PALMD,0.00041558186,low
FRRS1,0.00084269565,low
AGL,0.011498458999999996,low
SLC35A3,0.039479692000000004,low
SASS6,0.020210297999999998,low
TRMT13,0.017736780000000008,low
LRRC39,0.0018937422699999997,low
DBT,0.010509091000000002,low
RTCA,0.09590505,low
CDC14A,0.22448497199999998,low
GPR88,0.000107768254,low
VCAM1,0.0014618334000000002,low
EXTL2,0.0025188810000000006,low
SLC30A7,0.07472783999999999,low
DPH5,0.040192854,low
S1PR1,0.274868523,medium
OLFM3,0.0,low
COL11A1,7.997343e-05,low
RNPC3,0.135277816,low
AMY2B,0.007832549300000002,low
PRMT6,0.028256487,low
NTNG1,0.0,low
VAV3,0.025586094999999996,low
VAV3-AS1,0.0009337833,low
SLC25A24,0.014659067000000005,low
FAM102B,0.011904799999999998,low
HENMT1,0.018959023000000005,low
PRPF38B,0.17741535999999997,low
FNDC7,0.00050979434,low
STXBP3,0.06767097999999999,low
AKNAD1,0.0065483386,low
GPSM2,0.007744142799999999,low
CLCC1,0.01510222,low
WDR47,0.075804685,low
TAF13,0.031693537,low
TMEM167B,0.08423226,low
KIAA1324,0.053402596999999996,low
SARS,0.13851252,low
CELSR2,0.00479467759,low
PSRC1,0.0019964856499999997,low
SORT1,0.0005836386,low
PSMA5,0.22992972,low
ATXN7L2,0.045011517699999996,low
CYB561D1,0.03830971,low
AMIGO1,0.0055732989999999994,low
GNAI3,0.26827192,medium
AMPD2,0.21435324700000002,low
GSTM4,0.04441398,low
GSTM2,0.1673375675,low
GSTM1,0.1898113089,low
GSTM5,0.0004885708,low
GSTM3,0.011358545000000005,low
EPS8L3,0.0010602726000000001,low
CSF1,0.06896765599999999,low
AHCYL1,0.019160080000000003,low
STRIP1,0.09112624500000002,low
KCNC4,0.0053280168,low
RBM15,0.06726180500000001,low
SLC16A4,0.009841897,low
LAMTOR5,0.07344925000000002,low
KCNA2,0.00237324034,low
KCNA3,0.181601082,low
CD53,0.2258205499999999,low
LRIF1,0.021308492000000005,low
DRAM2,0.023932269999999978,low
CEPT1,0.022406425,low
DENND2D,0.39400760000000007,medium
CHI3L2,0.195486846,low
CHIA,0.00071648025,low
PIFO,0.0016888952,low
OVGP1,0.00160178343,low
WDR77,0.072956794,low
C1orf162,0.059181349999999966,low
ADORA3,0.0006504518,low
RAP1A,0.16023657000000002,low
DDX20,0.04766891400000001,low
KCND3,0.001751738,low
CTTNBP2NL,0.0052147297,low
WNT2B,0.0077207135,low
ST7L,0.052085213000000005,low
CAPZA1,0.44449607999999996,medium
MOV10,0.085564167,low
RHOC,0.08879973000000002,low
PPM1J,0.0012834008,low
SLC16A1,0.073744187,low
