gene,H_statistic,p_value,FDR
LAMP2,992.2614483654605,8.587254360802372e-215,6.242947911353358e-213
NELL2,992.2525222062303,8.625626893779141e-215,6.242947911353358e-213
BTF3,987.1252851499296,1.1169490113592208e-213,8.046686836000387e-212
C2,986.7720271892164,1.3324924998498552e-213,9.555260732794284e-212
ABL2,976.424120596875,2.3409903539427784e-211,1.6710160962249345e-209
RPS18,973.6309696718727,9.447216179978393e-211,6.712700044595607e-209
MVP,972.6976236293411,1.505807776605607e-210,1.0650852187163569e-208
CENPV,968.6036701576899,1.1637139640441941e-209,8.193915382122943e-208
GPM6B,968.4803942746106,1.2376210345538074e-209,8.675054467879189e-208
MX2,968.2825144871163,1.3661942439367077e-209,9.533340192779869e-208
ANXA5,965.8284577523956,4.6542980451382295e-209,3.233282673231964e-207
SP100,965.6905772081888,4.986130402223063e-209,3.4484077861774706e-207
KLF4,964.8989017356114,7.404505397163295e-209,5.098296835630886e-207
TMEM140,962.6139170658745,2.318250690612345e-208,1.5891761672519252e-206
EEF1G,956.936152104818,3.951750121998898e-207,2.6970694582642474e-205
LMNA,954.9577944214928,1.0615389478123333e-206,7.213365749741362e-205
ANP32B,953.3136663046631,2.4131283385690577e-206,1.6326386989770915e-204
SET,952.7893474638579,3.1355634714939965e-206,2.1122295748882283e-204
RHOC,940.2000848712046,1.6871628912786534e-203,1.1316354203097899e-201
HSPG2,936.9847630793456,8.406456535213874e-203,5.614286272294553e-201
FBLN5,934.4975451957131,2.911585318148556e-202,1.9362042365687898e-200
MAL,931.0790961566531,1.605617912124733e-201,1.0631923544924668e-199
BASP1,929.6655293499234,3.2528581072071326e-201,2.144818856197042e-199
RPL3,927.1170603269345,1.1616180148018688e-200,7.626978028832018e-199
CRMP1,919.456253568927,5.330752619208387e-199,3.4853714919118367e-197
COL8A1,915.9803758941927,3.0251374477111586e-198,1.9696302855160395e-196
HMGA1,913.9592221345823,8.301459323025582e-198,5.382458688566711e-196
FN1,903.182601401873,1.8059175810849596e-195,1.1660532564009569e-193
ITGB4,901.7377013118341,3.716268587024528e-195,2.3896221273838293e-193
MT1M,897.9294529881566,2.489664009544556e-194,1.5943070638898287e-192
CFB,896.9628462514206,4.0346267648497196e-194,2.5730666839273154e-192
RPL37A,889.5620952641119,1.6257768876728228e-192,1.0326005775133385e-190
TIMP1,889.39651278065,1.7659418219748047e-192,1.1170658817784527e-190
SLC25A6,886.0356558169852,9.46143354089454e-192,5.96070313076356e-190
TPPP3,883.4805991990479,3.389649240661898e-191,2.1268682191104756e-189
UCHL1,878.0273609743288,5.163794535832036e-190,3.2270605129350324e-188
XAF1,874.9989059048474,2.3433710084635274e-189,1.458607850508038e-187
PSAP,868.1995429282267,6.992200264300205e-188,4.334885590150418e-186
FTH1,863.4161227605382,7.622955991856757e-187,4.707175324971547e-185
HSPD1,861.3101132160533,2.182270070577963e-186,1.3422254770064697e-184
AKAP12,858.6807921700147,8.113270328495403e-186,4.970496046524291e-184
PSIP1,858.3765607142041,9.444570164595429e-186,5.763410052206646e-184
SAT1,842.7668751112284,2.2951258269980933e-182,1.3950958200748958e-180
SYTL2,840.5286629263387,7.018624424114637e-182,4.249681504422096e-180
IGF2BP2,836.8733789242245,4.3555469615490234e-181,2.6270025685528818e-179
ELAVL4,834.0822719868673,1.7554973184839543e-180,1.0547217672945488e-178
NSA2,831.5262518966052,6.2917000905924455e-180,3.765582504219579e-178
AEBP1,830.8531866320578,8.805354841974456e-180,5.249813283370288e-178
COL1A2,828.790226368765,2.467030128626538e-179,1.4652464057846394e-177
H2AFY2,825.8733249748318,1.058785039781284e-178,6.264545248683103e-177
SYT1,822.9834309798575,4.483126258971265e-178,2.6424972619640852e-176
BZW2,819.0743638838163,3.157859001512068e-177,1.8543186385860108e-175
NAP1L1,818.905312235061,3.4360313734387837e-177,2.0100783534616885e-175
DKK3,817.9352956423148,5.577464368781211e-177,3.25059636863687e-175
GLIS3,817.412270524685,7.242219875921539e-177,4.205081473478174e-175
UQCRH,817.385405238908,7.340038014113993e-177,4.2460346296515923e-175
SPON2,816.3859371740718,1.2091077587359156e-176,6.96849104951466e-175
FAU,814.1562156990939,3.681717313796116e-176,2.1140665357926705e-174
IER3,813.3683346980768,5.4566600645875054e-176,3.121731149450227e-174
TMBIM4,800.4573405768186,3.443877511204165e-173,1.9630101813863739e-171
PMEPA1,799.6005488298649,5.2828184449217675e-173,3.0002167088112273e-171
GBP3,792.7485340112007,1.6176987775877055e-171,9.15382206474265e-170
ADIRF,792.6318971514893,1.714719784348543e-171,9.667664697191187e-170
EIF3H,787.7260304589369,1.9867526494428567e-170,1.116095955883765e-168
SOCS3,787.2432914303195,2.5283457983398295e-170,1.4152370132361902e-168
