gene,H_statistic,p_value,FDR
AKR1C3,528.9147440360277,3.7292150186121496e-113,2.0239969215830534e-111
TUBB2A,527.3726662640098,8.039186147925068e-113,4.347093498586492e-111
CD74,527.3607723007025,8.086955779902793e-113,4.35684742642263e-111
C12orf75,526.5173534492272,1.2309449792417935e-112,6.607424075388001e-111
UBC,524.5543372906915,3.272548765865577e-112,1.7502164093063564e-110
RHOB,524.3632772939748,3.5992885588261887e-112,1.9179627105832354e-110
IL21R,523.9600888449097,4.3998222635321e-112,2.3360505597753405e-110
RAB1B,520.9205124279127,1.9996484626813864e-111,1.0578645693910842e-109
RBBP8,520.4135168557033,2.5740979603590564e-111,1.3568644428453817e-109
PAF1,518.4206295646751,6.945685997320008e-111,3.6481033191658567e-109
C1orf162,517.7877447389052,9.519537992043792e-111,4.982118204836062e-109
USP36,517.6997970089802,9.945806138615829e-111,5.186684809796311e-109
SYNGR2,517.09649798308,1.3431986929999773e-110,6.979870087667258e-109
CCL4L2,516.5800811502297,1.737186650485337e-110,8.995312076400046e-109
PFKFB3,515.6984489096907,2.6949550406713154e-110,1.3905588438731499e-108
CSNK1A1,515.5686929032977,2.874874017750552e-110,1.478189608986547e-108
RBBP6,514.0976497349545,5.981576563263026e-110,3.0648259775544184e-108
BCAS2,514.0188154662192,6.221111226509542e-110,3.176451704295151e-108
TUBA4A,512.1921529568524,1.5451925206123792e-109,7.862239998977015e-108
NINJ1,509.72835908473604,5.27111728704325e-109,2.672766530253695e-107
ICAM1,509.64793210710104,5.486544598295136e-109,2.772407742876445e-107
KDM5B,509.5535316815637,5.750658391901675e-109,2.8958813771452625e-107
PHF1,509.1792634808631,6.929007279327284e-109,3.477317557235001e-107
PNPLA8,506.33316039400916,2.8593654396256433e-108,1.4300730768694258e-106
ZFAND5,504.7164031157575,6.396767529880854e-108,3.1883752171045587e-106
SOCS1,503.5448657039139,1.1464402507394204e-107,5.694893367571345e-106
ANKHD1,502.76600759997746,1.68969652266444e-107,8.365139474028615e-106
TSPYL2,502.73537029120854,1.7156755279365435e-107,8.465154608209464e-106
CD247,502.508516440421,1.9208816439388508e-107,9.445838795395945e-106
BCL2A1,501.49786160089394,3.17753720987206e-107,1.5573120492797714e-105
SF3A1,499.89012647958543,7.076473951449487e-107,3.4566216428180263e-105
SF3B1,498.8521984665211,1.1865909975669745e-106,5.776845341643337e-105
SURF4,498.8044869671648,1.2151225945556828e-106,5.896161092920191e-105
NCOA7,498.7864133131264,1.2261089621390465e-106,5.929835224813725e-105
ITGA4,497.22283899462303,2.671141066097772e-106,1.2875954336380508e-104
RAPGEF6,491.98055692786954,3.63462258613904e-105,1.7462871926977537e-103
TMIGD2,489.33200849487383,1.3590940404512957e-104,6.508550349272317e-103
TCIRG1,486.5039685619229,5.5570411830056464e-104,2.652536856539568e-102
TOMM5,484.04201464734405,1.8934586764240423e-103,9.008682936466855e-102
DDIT4,483.5405266650679,2.4305481878513e-103,1.1526619140703222e-101
LTA4H,483.46482190075704,2.5239200672218407e-103,1.1930814408086725e-101
