gene,H_statistic,p_value,FDR
PPL,7.81548706859312,0.09857582170288191,0.10978992672380639
FBXL16,7.810618253606037,0.09876707162000224,0.10999528481001083
CCL22,7.809440744508105,0.09881337690908755,0.11003920308369987
ZNF19,7.808509562425852,0.0988500098050922,0.1100723447614128
SSTR3,7.805309148161647,0.09897601154398701,0.11020498970455612
ANKFN1,7.804772397160671,0.09899715835962955,0.11022087344961674
ST14,7.792010171990671,0.09950120722470222,0.1107743682573195
LMLN,7.790211439634794,0.09957244128969812,0.11084596831645085
SYT12,7.776022169943717,0.10013604222177376,0.11146563265453821
ITGBL1,7.773942172441579,0.10021891011665986,0.11155012392901605
ZNF813,7.772164243212964,0.10028979425556606,0.11162126569323894
NDFIP1,7.7681206006713515,0.10045118431889379,0.111793122514989
SAYSD1,7.765763681177815,0.10054536564097886,0.11189016337605492
LINC00881,7.7510825383973705,0.10113387534905866,0.11253725729233517
ERBB4,7.748905502072718,0.10122141750601941,0.11262684572378695
AATF,7.748120841440623,0.10125298731780574,0.11265414683726693
ANO9,7.745620471065224,0.10135364781773264,0.11275830916834227
TRIM62,7.73598946392259,0.10174224853721497,0.11318277502573776
TMEM233,7.734655330351703,0.1017961888956246,0.11323491614287237
M1AP,7.714328524281595,0.10262132932653961,0.11414484943216563
TAF6L,7.709572860840184,0.10281527790412522,0.11435263566352154
ILVBL,7.707588998725997,0.10289628608071084,0.11443478781799372
SAMD15,7.703063210408722,0.10308131303911335,0.11463260369002835
ZSCAN20,7.700909488409656,0.10316947217442544,0.11472267674380535
SLC1A3,7.694340053644199,0.10343881590006813,0.11501419745028749
GRPEL2,7.689445488092515,0.10363991685756142,0.11522980343659317
ZNF517,7.675464666565386,0.10421635038090613,0.11586265593468269
SLC37A2,7.660026943263191,0.10485632336083868,0.11656605575170413
ATP1A3,7.650222440904751,0.1052646698582649,0.11701188265110894
ANKRD34A,7.6478225385651175,0.10536484855983505,0.1171151130730658
ZMAT5,7.640514950017509,0.10567043517192143,0.11744662828038759
FAM81A,7.639242125795004,0.10572374611336983,0.11749772699818517
ANKS4B,7.638289739777593,0.10576365221251832,0.1175339219793177
LINC00607,7.6365138016137415,0.10583810359568639,0.11760849904898772
IRF6,7.6318229877818995,0.10603498803113821,0.11781910532741871
RRP1,7.622362591167208,0.10643310108629549,0.11825325888590418
CCL28,7.619383246926823,0.10655876596168125,0.11838466771230136
PNPLA1,7.61904686335003,0.10657296286083866,0.11839222819684095
KATNB1,7.617630310762614,0.10663276707392878,0.11845044942250622
CCDC125,7.612615749277393,0.10684472369722585,0.11867766570447062
OTOF,7.611455079866105,0.10689383900416441,0.11869929418536476
BTN1A1,7.611455079866105,0.10689383900416441,0.11869929418536476
GATA4,7.611455079866105,0.10689383900416441,0.11869929418536476
CTXN2,7.611455079866105,0.10689383900416441,0.11869929418536476
LINC00582,7.609174940796149,0.10699038740448832,0.1187973269575774
TM4SF5,7.609019891101149,0.10699695565274468,0.1187973269575774
ATP10B,7.608292441661179,0.10702777703336185,0.11882331078833831
C3orf38,7.604478285220837,0.10718951473634565,0.11899462555669867
SLC16A11,7.5969921407364165,0.10750762322344595,0.11933949692771044
STX1B,7.594607473433235,0.10760913919070525,0.11944390730544185
LINC00158,7.584461423916107,0.1080420574239256,0.11991612734800197
JARID2-AS1,7.578358373011964,0.10830324638419446,0.1201976924428799
CALCA,7.576431039737071,0.10838585139497073,0.12028103525207831
LPCAT1,7.569899405069901,0.10866623168696642,0.12058383212762513
GRAMD1C,7.562290669777391,0.10899369883493183,0.12093883437749242
FAM124B,7.561563763931234,0.1090250316224137,0.12096522107898311
BLOC1S4,7.5554222844803824,0.10929009052936677,0.12125090946934042
PLA2G2C,7.546855606571372,0.10966081911722737,0.12165378444387247
SFTPD,7.544093942334704,0.10978058095269609,0.12177820937179398
RPL34-AS1,7.5345635978030945,0.11019480665579365,0.12222923948793953
UBQLN4,7.529878187111899,0.11039898504919253,0.1224472365856185
LAGE3,7.525265250762038,0.11060034865897485,0.12266208173873426
ECT2L,7.525021924350989,0.11061097980008387,0.12266537862341227
DND1,7.523432912167717,0.11068042846966575,0.12273389800599808
SUSD3,7.517891777463413,0.11092292403115879,0.12299428689560889
PLS1,7.511801312726695,0.1111900292929105,0.12328192573615862
SLC30A2,7.5071515722067215,0.11139435186206834,0.12349991927561074
VAC14,7.501026614802658,0.11166403196159806,0.1237903377580922
PFKFB2,7.488357076039779,0.11222379378652493,0.12440227732568135
GEMIN7,7.469277135981204,0.11307169682835455,0.12533352028372005
NOS1AP,7.465231632261006,0.11325223951773435,0.1255249546990209
AGBL3,7.45682400270407,0.11362831132681793,0.12593306549416294
MYO19,7.449792558702648,0.11394371619356741,0.12627388793138927
C3orf33,7.446488436715491,0.1140922074238702,0.12642970017352492
ATPAF2,7.443990200880797,0.11420460034045,0.1265454917781382
ZNRF3-AS1,7.439113931547485,0.1144242743964392,0.126780133024887
ST3GAL6-AS1,7.437624597864664,0.11449144641453028,0.12684578385706105
ZNF790,7.434646350410064,0.11462588124326652,0.12698594133859453
LRRC27,7.4319840724003825,0.11474617749310015,0.12711041738066153
EPB41L4B,7.430344343442381,0.1148203276602,0.12718376128170286
RBM44,7.425613282498765,0.11503452010559738,0.1274122058316405
LINC00923,7.418767351090707,0.1153451166266459,0.12774738853609371
DLAT,7.415571690203073,0.11549036826014052,0.12789941425863727
