gene,H_statistic,p_value,FDR
AP1M2,2.7576918407982722,0.5991576914199573,0.6410182447119347
ANK1,2.736021625066485,0.6029261688807732,0.6450053475993095
SFTA1P,2.7352877329046215,0.6030539873661056,0.6450974216833077
NFASC,2.7297023356021195,0.6040271818483456,0.646093733938303
CCDC17,2.7268227212780225,0.6045292073675316,0.6465859603375141
GPC1,2.7263708282423487,0.6046080068937576,0.6466254803430088
HABP4,2.7246138016926755,0.6049144360966636,0.6469084269192656
COX6B2,2.718103649360389,0.606050443924977,0.6480784420433815
RNF43,2.713280230409623,0.6068927509746784,0.6489342488103638
PIPOX,2.7058745234571626,0.6081870383629531,0.6502731942250355
IMPAD1,2.6942171323405963,0.6102269188044069,0.6524090868009198
CMTM4,2.6869336674605924,0.6115029816529908,0.6536899534217032
SRRM2-AS1,2.6833960378145996,0.6121232036432482,0.6536899534217032
CA6,2.674836948443996,0.6136249488336278,0.6536899534217032
SLC1A7,2.674836948443996,0.6136249488336278,0.6536899534217032
HSD3B2,2.674836948443996,0.6136249488336278,0.6536899534217032
C4BPA,2.674836948443996,0.6136249488336278,0.6536899534217032
LEFTY2,2.674836948443996,0.6136249488336278,0.6536899534217032
CAPN13,2.674836948443996,0.6136249488336278,0.6536899534217032
IGKJ5,2.674836948443996,0.6136249488336278,0.6536899534217032
IGKV1-37,2.674836948443996,0.6136249488336278,0.6536899534217032
EDAR,2.674836948443996,0.6136249488336278,0.6536899534217032
GRIP2,2.674836948443996,0.6136249488336278,0.6536899534217032
OSBPL10-AS1,2.674836948443996,0.6136249488336278,0.6536899534217032
ZNF80,2.674836948443996,0.6136249488336278,0.6536899534217032
TRAM1L1,2.674836948443996,0.6136249488336278,0.6536899534217032
HCG9,2.674836948443996,0.6136249488336278,0.6536899534217032
IL17F,2.674836948443996,0.6136249488336278,0.6536899534217032
LGSN,2.674836948443996,0.6136249488336278,0.6536899534217032
HOTTIP,2.674836948443996,0.6136249488336278,0.6536899534217032
TRIM74,2.674836948443996,0.6136249488336278,0.6536899534217032
AZGP1,2.674836948443996,0.6136249488336278,0.6536899534217032
SLC26A4-AS1,2.674836948443996,0.6136249488336278,0.6536899534217032
ANKRD7,2.674836948443996,0.6136249488336278,0.6536899534217032
LZTS1,2.674836948443996,0.6136249488336278,0.6536899534217032
CASC9,2.674836948443996,0.6136249488336278,0.6536899534217032
DMRT2,2.674836948443996,0.6136249488336278,0.6536899534217032
PAEP,2.674836948443996,0.6136249488336278,0.6536899534217032
ZNF365,2.674836948443996,0.6136249488336278,0.6536899534217032
MUC5AC,2.674836948443996,0.6136249488336278,0.6536899534217032
IGF2,2.674836948443996,0.6136249488336278,0.6536899534217032
UBQLNL,2.674836948443996,0.6136249488336278,0.6536899534217032
LINC00958,2.674836948443996,0.6136249488336278,0.6536899534217032
SAA4,2.674836948443996,0.6136249488336278,0.6536899534217032
A2ML1,2.674836948443996,0.6136249488336278,0.6536899534217032
FZD10,2.674836948443996,0.6136249488336278,0.6536899534217032
C1QTNF9,2.674836948443996,0.6136249488336278,0.6536899534217032
SFTA3,2.674836948443996,0.6136249488336278,0.6536899534217032
SIX4,2.674836948443996,0.6136249488336278,0.6536899534217032
SERPINA6,2.674836948443996,0.6136249488336278,0.6536899534217032
NR2E3,2.674836948443996,0.6136249488336278,0.6536899534217032
ACSM1,2.674836948443996,0.6136249488336278,0.6536899534217032
SLC2A4,2.674836948443996,0.6136249488336278,0.6536899534217032
RHBDL3,2.674836948443996,0.6136249488336278,0.6536899534217032
C17orf77,2.674836948443996,0.6136249488336278,0.6536899534217032
CCDC178,2.674836948443996,0.6136249488336278,0.6536899534217032
LINC00659,2.674836948443996,0.6136249488336278,0.6536899534217032
MIS18A-AS1,2.674836948443996,0.6136249488336278,0.6536899534217032
SIM2,2.674836948443996,0.6136249488336278,0.6536899534217032
TMEM211,2.674836948443996,0.6136249488336278,0.6536899534217032
RFPL2,2.674836948443996,0.6136249488336278,0.6536899534217032
TEX11,2.674836948443996,0.6136249488336278,0.6536899534217032
TCEAL6,2.674836948443996,0.6136249488336278,0.6536899534217032
PXT1,2.667751492059534,0.6148693639543114,0.6549704613897321
AGMO,2.6564982160506765,0.6168480370318379,0.6568395522369872
TPBGL,2.6564982160506765,0.6168480370318379,0.6568395522369872
PSORS1C1,2.656266247520492,0.6168888533261976,0.6568395522369872
KLHL29,2.6562041249506483,0.61689978437429,0.6568395522369872
ATP1A2,2.6560801672319125,0.6169215961467321,0.6568395522369872
CLDN9,2.6560801672319125,0.6169215961467321,0.6568395522369872
IL21R-AS1,2.6560801672319125,0.6169215961467321,0.6568395522369872
ATP1B2,2.655724711953632,0.616984144403,0.6568608843912873
FBXL19,2.650449806532747,0.6179126736281927,0.6578041008839194
PPP2R3A,2.649445640875525,0.6180895027704598,0.6579470139377454
LIMCH1,2.6487408396745926,0.6182136281527973,0.6580338088033116
LDLRAP1,2.6469977739234407,0.6185206524899398,0.6583152580851457
PLP1,2.637199577714153,0.620247724767444,0.6601079759871731
CCDC151,2.624493624549221,0.6224903738558543,0.6624491195293618
CCZ1B,2.621856704503626,0.6229562269627404,0.6628992192011915
NOSTRIN,2.618548558631915,0.6235408685978461,0.6634125527243664
FCRL3,2.6178910678601715,0.6236570927978871,0.6634125527243664
ATP2C2,2.6168397545581703,0.6238429514771859,0.6634125527243664
FOXD2,2.611823139781358,0.6247301411700816,0.6634125527243664
LRRC2,2.6090203180750504,0.6252260481963312,0.6634125527243664
CACNB2,2.607177565161588,0.6255521773929107,0.6634125527243664
RPL34-AS1,2.6027605870752675,0.6263341759117858,0.6634125527243664
FBXL16,2.6024688568978576,0.6263858390330139,0.6634125527243664
EMCN,2.598063415018944,0.6271662199130356,0.6634125527243664
FCRL5,2.59621142056484,0.6274944008773375,0.6634125527243664
COLEC11,2.594361278967386,0.6278223231990423,0.6634125527243664
IGHV3-20,2.592824705950591,0.6280947209182802,0.6634125527243664
PADI6,2.585235896368595,0.6294407358232204,0.6634125527243664
ZP1,2.583465579350426,0.6297549008714391,0.6634125527243664
ABHD1,2.582654393637188,0.6298988769838945,0.6634125527243664
STRIP2,2.5787174997099873,0.6305978171639037,0.6634125527243664
PIWIL2,2.57670242154584,0.630955685553724,0.6634125527243664
C12orf50,2.5710112862399224,0.6319668395761626,0.6634125527243664
SFTPB,2.570572285424883,0.6320448642379777,0.6634125527243664
SYNE4,2.5705055145644753,0.6320567319153624,0.6634125527243664
SLC25A21-AS1,2.569947650319293,0.6321558886771135,0.6634125527243664
MDGA1,2.569871543233487,0.6321694166950125,0.6634125527243664
TEX41,2.5693737797004195,0.6322578968687688,0.6634125527243664
TRPM5,2.5693737797004195,0.6322578968687688,0.6634125527243664
PLCD4,2.569315284581208,0.6322682950146727,0.6634125527243664
BTN1A1,2.569315284581208,0.6322682950146727,0.6634125527243664
REEP1,2.5692390982068636,0.6322818380753139,0.6634125527243664
FAT4,2.5692390982068636,0.6322818380753139,0.6634125527243664
DQX1,2.5691629911210576,0.6322953671555709,0.6634125527243664
DPYSL4,2.5691629911210576,0.6322953671555709,0.6634125527243664
SLC52A1,2.5667400061369756,0.6327261455870565,0.6634125527243664
NGEF,2.5662903102308565,0.6328061089573058,0.6634125527243664
PEBP4,2.5661884203103593,0.6328242272218653,0.6634125527243664
DDAH1,2.5654269811555017,0.6329596342647756,0.6634125527243664
LSMEM2,2.5649416884467082,0.6330459399992261,0.6634125527243664
GABRD,2.5595730520414666,0.6340010195798326,0.6634125527243664
ANGPTL7,2.5595730520414666,0.6340010195798326,0.6634125527243664
HSPB7,2.5595730520414666,0.6340010195798326,0.6634125527243664
GRIK3,2.5595730520414666,0.6340010195798326,0.6634125527243664
ARTN,2.5595730520414666,0.6340010195798326,0.6634125527243664
PODN,2.5595730520414666,0.6340010195798326,0.6634125527243664
GLIS1,2.5595730520414666,0.6340010195798326,0.6634125527243664
KANK4,2.5595730520414666,0.6340010195798326,0.6634125527243664
GNG12-AS1,2.5595730520414666,0.6340010195798326,0.6634125527243664
COL11A1,2.5595730520414666,0.6340010195798326,0.6634125527243664
FNDC7,2.5595730520414666,0.6340010195798326,0.6634125527243664
NGF,2.5595730520414666,0.6340010195798326,0.6634125527243664
SPAG17,2.5595730520414666,0.6340010195798326,0.6634125527243664
LCE2A,2.5595730520414666,0.6340010195798326,0.6634125527243664
FAM163A,2.5595730520414666,0.6340010195798326,0.6634125527243664
CACNA1E,2.5595730520414666,0.6340010195798326,0.6634125527243664
NMNAT2,2.5595730520414666,0.6340010195798326,0.6634125527243664
