gene,H_statistic,p_value,FDR
AKR1B1,1.5764688658916068,0.6647370373508201,0.7193917696602045
MYL5,1.5758998740624837,0.6648666225843753,0.7194824650923393
GNMT,1.5710292299206106,0.6659764396258534,0.720633828501784
CRYGS,1.5672997876724848,0.6668268888788144,0.7215043983214765
EXOC6,1.5615941118754093,0.6681291022105537,0.7228636218051123
C10orf99,1.5606014806291268,0.6683557883574767,0.7230529352423081
SLC46A1,1.5604249972968738,0.6683960959022812,0.7230529352423081
FOXD3,1.5578313129852375,0.6689886222813589,0.7236441040521603
LINC00511,1.5553083353096084,0.6695652598240411,0.724218005739479
PNPLA4,1.5543972455884245,0.669773557227068,0.7243934502360884
MSRA,1.5525081576826116,0.670205556754127,0.724810798922919
TP73,1.545365290174412,0.6718403092129465,0.7264787601204532
RXFP4,1.545365290174412,0.6718403092129465,0.7264787601204532
CCL25,1.5441997168531312,0.6721072642207666,0.7267174244577618
SHH,1.5435340574354621,0.6722597469429132,0.7267822922855351
RASD2,1.5435340574354621,0.6722597469429132,0.7267822922855351
NANOG,1.533093244629013,0.674653756615306,0.7293202943297669
TNMD,1.5322207305324533,0.674854015947765,0.7294866025610478
ACO2,1.5296652041491956,0.6754407345767415,0.7300706041683678
LINC00900,1.529031807653276,0.6755861950994895,0.7301776110435029
RASAL2-AS1,1.5255778294302742,0.6763796869204599,0.7309849511512824
ITK,1.5250841668679649,0.6764931359769444,0.7310572870118722
GDF9,1.5187363356275678,0.6779527943112691,0.7325843038638549
ISX,1.5138974426987355,0.679066542358826,0.733496508856318
AQP10,1.5136495618041246,0.6791236207640627,0.733496508856318
KLRC2,1.513401715269015,0.6791806936576816,0.733496508856318
CORIN,1.513153885913656,0.6792377649943393,0.733496508856318
CD209,1.513153885913656,0.6792377649943393,0.733496508856318
CLIC6,1.513153885913656,0.6792377649943393,0.733496508856318
ADORA1,1.5126583360080248,0.67935188980328,0.733496508856318
GRM7,1.5126583360080248,0.67935188980328,0.733496508856318
LRTM1,1.5126583360080248,0.67935188980328,0.733496508856318
LINC00996,1.5126583360080248,0.67935188980328,0.733496508856318
FAM170B,1.5126583360080248,0.67935188980328,0.733496508856318
PRMT5,1.5126359898822674,0.6793570363268366,0.733496508856318
GRIN2C,1.5124105925514186,0.6794089485478856,0.733502166337746
GDF7,1.51191520871671,0.679523049477649,0.7335749584826714
GPT2,1.5102058208383122,0.679916843375991,0.7339496607251236
PPP5C,1.5087980174309272,0.6802412462766326,0.7342494111595851
EBI3,1.5078343013662854,0.6804633616714622,0.7344387193206992
TBC1D13,1.5060248525004627,0.6808804972636138,0.7348384765138686
ATG2A,1.5013252313009744,0.6819645014311229,0.7359578455326188
MSTO1,1.4992881986203241,0.682434623469564,0.7364146211513092
FAM167A,1.4985257199426554,0.6826106351926295,0.7364818308177618
NR1I3,1.498425975361334,0.6826336620332625,0.7364818308177618
SGCA,1.4984093839382695,0.6826374923340759,0.7364818308177618
HMGCL,1.4976221794835096,0.6828192387298848,0.7366273445825693
MANBAL,1.4972362769778327,0.682908342933148,0.7366729025696583
ATP13A4,1.4937085333340807,0.6837231570316039,0.7372377539686622
SHD,1.4937085333340807,0.6837231570316039,0.7372377539686622
LAIR1,1.4933306853687023,0.6838104579787279,0.7372377539686622
TXK,1.4933144214331378,0.6838142158478506,0.7372377539686622
CCR6,1.4933144214331378,0.6838142158478506,0.7372377539686622
C11orf86,1.4933144214331378,0.6838142158478506,0.7372377539686622
DCLK3,1.493117406290338,0.6838597380499474,0.7372377539686622
