gene,H_statistic,p_value,FDR
ATP2B4,1369.1149645255837,3.4395908330937005e-295,1.1377727379171864e-293
KRT86,1365.560203394884,2.0290181781994726e-294,6.697483145746752e-293
ZFAND5,1362.8449742851992,7.87095298781107e-294,2.592578519099549e-292
NAP1L1,1362.7368701304022,8.30744428297477e-294,2.7305673629473304e-292
SLC16A3,1360.2239169882391,2.913049436564808e-293,9.554679238454235e-292
KLRD1,1360.0412759111557,3.1911677088149664e-293,1.0444859867146586e-291
IRF8,1358.674834568566,6.312954802732152e-293,2.0619224436570748e-291
DDIT4,1358.1007236710059,8.408450976253011e-293,2.7405909293041e-291
ANKHD1,1354.04819078653,6.3594035228169345e-292,2.068402647891943e-290
IL2RG,1353.3829080929825,8.864771907154043e-292,2.87725696953077e-290
HNRNPA1,1353.1221054205002,1.0097562998005107e-291,3.2705585818746957e-290
RPL29,1352.6345778826146,1.288028754200829e-291,4.1631981375385216e-290
SDCBP,1352.59935168999,1.3108818044050631e-291,4.2282737371546713e-290
DNAJB6,1349.669479135625,5.6602670411407474e-291,1.8219497244019708e-289
USP9Y,1348.8749972784046,8.415910732957614e-291,2.703350499282893e-289
SLC38A2,1348.8129748983679,8.680588494958957e-291,2.78262081095107e-289
LYPD3,1344.95786139341,5.948880101626512e-290,1.9030296078186705e-288
CSNK2B,1344.0939779418636,9.156858347691107e-290,2.9232377152269742e-288
HLA-C,1343.9503666522708,9.837504748149781e-290,3.1340919327763246e-288
ID3,1341.5812540484067,3.2104514828788846e-289,1.0207134806609002e-287
CYP51A1,1340.3444952275627,5.9528498327538535e-289,1.888754211220901e-287
YBX1,1339.6126346834637,8.578464897141375e-289,2.7162809318911804e-287
EML4,1339.113936641314,1.100370701811623e-288,3.477126687208395e-287
IKZF2,1338.1941335460629,1.741701635753607e-288,5.492542663501285e-287
TYROBP,1337.8252616673078,2.0938893105761012e-288,6.589817229053976e-287
LEPROTL1,1336.791384603413,3.5085043451455855e-288,1.1019538798783517e-286
IGKV3-11,1336.6630342700103,3.7406864073966545e-288,1.1725091043507214e-286
GPRIN3,1336.521355590927,4.0148605878258994e-288,1.255127654785226e-286
SOCS1,1336.5185875540178,4.02041276183857e-288,1.255127654785226e-286
MYL12B,1335.3133337287836,7.338325204348862e-288,2.2863515421244842e-286
ZNF90,1335.3012500654324,7.382729628994978e-288,2.2955859508396985e-286
FAM53C,1335.2145689436986,7.709236685330784e-288,2.392325404128497e-286
SMCHD1,1332.8274154106025,2.538628790652575e-287,7.862163706827805e-286
HNRNPA2B1,1331.6315487979803,4.6119976725920433e-287,1.4255015470335684e-285
PGAM1,1330.0450138361687,1.0183189122040303e-286,3.1412309777849325e-285
GLIPR1,1328.8551125767929,1.8445034043791204e-286,5.6785137480954824e-285
BACH2,1328.112565651872,2.672262370119826e-286,8.210605349457101e-285
STRAP,1327.8981643763523,2.9741696110727017e-286,9.120200186064554e-285
RALGDS,1321.8499621738824,6.091672315403638e-285,1.8643155410941015e-283
ZBTB16,1315.4473157476534,1.4891828616113263e-283,4.548590559817542e-282
SASH3,1309.4423733550227,2.984837257023614e-282,9.099071536263946e-281
ARIH2,1308.856357021306,3.9992483996590825e-282,1.2167576295401126e-280
TRIM22,1308.5368586203333,4.690840988266809e-282,1.4243848602457828e-280
UTY,1307.9414692269393,6.3145226653370486e-282,1.9136819469394755e-280
BACH1,1306.670255125867,1.1911309287018662e-281,3.602823453020995e-280
PHF20,1305.3890448410573,2.2581115396154066e-281,6.816866040077811e-280
ATXN2L,1303.920834424003,4.699755236114753e-281,1.4160289661991485e-279
ELOVL5,1303.3253389613076,6.326847334626135e-281,1.9025821182095265e-279
PPP2CA,1302.6177184370863,9.007612678789541e-281,2.7035010485934554e-279
STAT4,1296.6558492427262,1.7669487515572574e-279,5.2930158459461815e-278
NINJ1,1295.7796178741282,2.7365415760705888e-279,8.181733054455662e-278
GZMH,1292.0246653635443,1.7836976234739838e-278,5.322676958186186e-277
DENND4A,1289.2746858134258,7.039596851283028e-278,2.0966400813581846e-276
H2AFX,1289.0692517338325,7.799883800464295e-278,2.318638498008e-276
CCDC69,1284.4147957119012,7.96566255210046e-277,2.363399917891333e-275
SLC38A1,1282.2602995966236,2.335268506837235e-276,6.915508471580667e-275
FYN,1278.4415616670854,1.5713463925687806e-275,4.644433909746547e-274
RPL5,1277.776382693417,2.1902215141458223e-275,6.461361267632846e-274
STX11,1276.0016458440023,5.3120795817497104e-275,1.5641458571489157e-273
CCR7,1273.8609887358016,1.5465868132620208e-274,4.54532801243566e-273
IFITM3,1270.4801738847102,8.362893881840234e-274,2.4531681354900022e-272
MATK,1268.3560669226215,2.414765674770426e-273,7.070124660198834e-272
YWHAB,1265.1454763682573,1.199352614103133e-272,3.504950205161919e-271
CD83,1264.319297105462,1.8116161390694748e-272,5.284276944486515e-271
CD63,1263.2817150549358,3.041012935447893e-272,8.853675675544643e-271
BTG3,1262.4494950319618,4.607303318903485e-272,1.3388737326914483e-270
FAM118A,1262.4122765358968,4.6937063436941166e-272,1.3614375471159037e-270
PNPLA8,1261.1652091687185,8.747513164474985e-272,2.5325435226832882e-270
LINC00623,1261.120379268706,8.945484764902299e-272,2.58504556951554e-270
BCLAF1,1260.7885338362655,1.0557208242790463e-271,3.045137598342548e-270
RPL36A,1257.6537038516817,5.048813266523588e-271,1.45359073804893e-269
YBX3,1255.5867995484252,1.4167677982175028e-270,4.0714397336206126e-269
EIF4G2,1253.357703934419,4.310921966724705e-270,1.2365664910824537e-268
UBE2B,1253.348542567587,4.330682627182356e-270,1.2399470129798174e-268
